train_start,train_end,test_start,test_end,selected_htf,selected_ltf,selected_rr,train_return_pct,train_calmar,train_stability_score,oos_return_pct,oos_maxdd_pct,oos_trades,oos_winrate_pct,oos_sharpe,oos_sortino,oos_calmar,oos_profit_factor
2025-05-28,2025-11-28,2025-11-28,2025-12-28,240m,240m,2.0,7.85111809457697,3.811892201757042,87.4358657614848,0.0,0,0,0,0,0,0,999.0
2025-06-28,2025-12-28,2025-12-28,2026-01-28,30m,30m,3.5,24.18409061297617,3.032985255109159,84.33071756254108,7.799134846931621,-1.1102868615064654,5,60.0,1.4240172268489777,2.201901004049327,7.024432259199715,4.442928323135312
2025-07-28,2026-01-28,2026-01-28,2026-02-28,30m,30m,3.5,43.84011236664176,14.427273722892398,86.25694468510915,-6.410884941422779,-6.410884941422773,6,0.0,-56.76632522999734,-2.234335217518572,-1.0000000000000009,0.0
2025-08-28,2026-02-28,2026-02-28,2026-03-28,15m,60m,2.0,16.944703302938713,8.186024901582522,86.5399219417775,3.5801175705977295,-1.040964502119117,5,60.0,1.0028058267344437,1.096307996315202,3.4392311777294964,2.7095647927290862
2025-09-28,2026-03-28,2026-03-28,2026-04-28,15m,60m,2.0,20.245197632627598,9.619883859284874,83.91981479124009,-2.081222937374805,-2.0812229373748052,2,0.0,-2352.1935894824855,-0.999999909630096,-0.9999999999999998,0.0
2025-10-28,2026-04-28,2026-04-28,2026-05-28,120h,60m,2.0,8.774442116842373,8.21478162275098,87.60702236570174,-1.0917473760278518,-1.0917473760278518,1,0.0,0,0,-1.0,0.0
