symbol,market,strategy_name,filter,htf,ltf,rr,parameter_set,start_date,end_date,search_bars,return_pct,maxdd_pct,avg_drawdown_pct,max_drawdown_duration,trades,winrate_pct,sharpe,sortino,calmar,max_consecutive_losses,profit_factor,wins,losses,net_profit,gross_profit,gross_loss,worst_trade,best_trade,avg_win,avg_loss,avg_win_loss_ratio,expectancy,avg_trade,median_trade,long_trades,short_trades,long_return,short_return,long_profit_factor,short_profit_factor,max_loss_streak,final_equity,sample,stability_score,grade
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,2h,5m,4.0,2h->5m_RR4,2021-05-28 00:00,2026-05-28 00:00,50,477.5582420945412,-29.482721977166005,-8.69363886724581,243,806,24.81389578163772,1.414239886064986,3.5246024887861007,1.4251362016871165,28,1.2941112881993686,200,606,47755.82420945412,210129.13705245533,162373.3128430012,-595.2373877480459,2289.3745682617146,1050.6456852622766,-267.94276046699866,3.9211572032440865,59.250402244980336,59.250402244980336,-190.21188838568065,400,406,355.25414432576446,122.30409776877707,1.4670311037251995,1.1417084844670538,28,57755.82420945412,FULL,64.37339310977765,B
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,2h,1m,4.0,2h->1m_RR4,2021-05-28 00:00,2026-05-28 00:00,50,246.10085720254742,-22.82568089839703,-7.744591524182955,202,955,23.036649214659686,0.9962352422034523,2.3920434186952857,1.2350273435560424,21,1.1863234841500363,220,735,24610.08572025474,156692.66152931124,132082.57580905652,-372.05579845898427,1430.9838402268624,712.2393705877784,-179.70418477422655,3.9633989129558036,25.76972326728245,25.76972326728245,-147.51625390794686,463,492,156.9589102346674,89.14194696788,1.2554747773929598,1.1261839317066316,21,34610.08572025474,FULL,35.60924917081647,C
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,2h,5m,3.5,2h->5m_RR3.5,2021-05-28 00:00,2026-05-28 00:00,50,260.1866294033604,-26.743641346841695,-8.608762025628131,264,819,26.12942612942613,1.1375926616457626,2.6183610413615623,1.0924962556600386,16,1.2001959622541662,214,605,26018.662940336042,155984.6355172608,129965.97257692476,-371.78763485960457,1257.2528715059043,728.9001659685083,-214.81978938334672,3.393077369924161,31.768819218969526,31.768819218969526,-170.1969416248782,403,416,223.4063629459356,36.78026645742485,1.3675606970322056,1.0531620715000567,16,36018.66294033604,FULL,33.941284753885164,C
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,2h,5m,2.5,2h->5m_RR2.5,2021-05-28 00:00,2026-05-28 00:00,50,118.09506033119655,-23.355176393858006,-8.080866909349167,323,918,31.372549019607842,0.8175933304331382,1.6036772209548729,0.7227316518114877,16,1.1288089921539541,288,630,11809.506033119655,103491.81668271132,91682.31064959167,-229.53353886380006,559.8378996678083,359.34658570385875,-145.5274772215741,2.4692696703367747,12.864385656993079,12.864385656993079,-120.28771560813969,456,462,98.0018650088005,20.093195322395985,1.2232491428483871,1.0420497582044357,16,21809.506033119655,FULL,32.901439844649445,C
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,2h,5m,3.0,2h->5m_RR3,2021-05-28 00:00,2026-05-28 00:00,50,203.44107918992776,-23.54097396411773,-7.186943149198634,158,863,28.62108922363847,1.0519850005393832,2.2524978370900297,1.0560890175987525,16,1.19185661003201,247,616,20344.107918992777,126382.19498619664,106038.0870672038,-316.2627033544125,921.1535049157646,511.66880561213213,-172.1397517324737,2.972403529472543,23.57370558400098,23.57370558400098,-134.62137467949603,429,434,143.3260177328952,60.11506145703325,1.2809323814820623,1.1092601620919114,16,30344.107918992777,FULL,31.60012537517575,C
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,2h,1m,2.5,2h->1m_RR2.5,2021-05-28 00:00,2026-05-28 00:00,50,94.02073564617153,-29.4416736747616,-10.70721149070324,343,1061,30.72573044297832,0.6799345837411112,1.3197480930732488,0.4815183622890282,16,1.103555101950764,326,735,9402.073564617152,100195.02714683129,90792.95358221412,-206.2591746410178,503.0711576610191,307.3467090393598,-123.5278280030124,2.4880766869135327,8.861520796057654,8.861520796057654,-97.87401217408804,514,547,69.76682298202408,24.25391266414763,1.1642961316383138,1.0501851283326211,16,19402.073564617152,FULL,26.446298140535404,C
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,2h,3m,4.0,2h->3m_RR4,2021-05-28 00:00,2026-05-28 00:00,50,148.0425855789525,-24.749775176827473,-9.286837795610921,282,895,22.45810055865922,0.7876955681546473,1.8674873799485028,0.8051283969189618,20,1.1363973880334484,201,694,14804.25855789525,123341.956906377,108537.69834848178,-277.8540657844553,1068.6694837863665,613.6415766486418,-156.39437802374894,3.923680533807031,16.541071014408082,16.541071014408082,-126.00466323487544,433,462,115.15448766160135,32.88809791735101,1.2255494734958097,1.0572139976060009,20,24804.25855789525,FULL,26.061830186805288,C
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,2h,1m,3.5,2h->1m_RR3.5,2021-05-28 00:00,2026-05-28 00:00,50,135.78394830283992,-25.833079478876826,-9.410942818084099,250,985,24.568527918781726,0.7646470380421674,1.7064110632165124,0.7245375707934432,21,1.1203773377611355,242,743,13578.394830283993,126376.99199836205,112798.59716807806,-255.9208192415518,865.4327220728884,522.2189751998432,-151.81507021275647,3.4398362064319157,13.78517241653197,13.78517241653197,-130.34735842676434,476,509,116.01157846984101,19.772369832998862,1.2220948734627273,1.0326473624260115,21,23578.394830283993,FULL,24.67294942242453,C
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,2h,1m,2.0,2h->1m_RR2,2021-05-28 00:00,2026-05-28 00:00,50,79.64203088452389,-34.970401172814206,-10.829177748178505,545,1115,35.426008968609864,0.6531295155495448,1.1667465288474632,0.35549043369141226,11,1.0835325796301458,395,720,7964.203088452388,103306.68052318787,95342.47743473544,-189.068988307699,370.7235064856843,261.5359000587035,-132.42010754824366,1.9750467274271015,7.142783038970783,7.142783038970783,-112.12866199566434,549,566,50.004231818514285,29.637799066009933,1.1073577573935123,1.0607764324916005,11,17964.20308845239,FULL,24.348234806293718,C
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,2h,5m,2.0,2h->5m_RR2,2021-05-28 00:00,2026-05-28 00:00,50,63.303874182518236,-30.12078302218048,-10.21278109800401,366,973,35.35457348406989,0.5895275032768941,1.0521348708135612,0.34220632150830504,16,1.0778118755464645,344,629,6330.387418251823,87685.41676042088,81355.02934216906,-178.87045621200684,350.7263847294252,254.89946732680488,-129.3402692244341,1.970766481740483,6.506050789570216,6.506050789570216,-111.13055123533027,489,484,81.64499191213363,-18.341117729615423,1.2094637576168277,0.9567190973753149,16,16330.387418251823,FULL,23.362921521074163,C
